title,price,description,city,views,url,year,mileage,engine_l,fuel,gearbox,car_age,price_per_year,price_per_km,price_z
GAC GS4 Max GB 2.0,13990000.0,"2025 г., новый кроссовер, 1.5 л, бензин, КПП робот",Уральск,0,https://kolesa.kz/a/show/204426012?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=11,2025.0,,1.5,petrol,other,0.0,inf,,0.062491667025287405
ВАЗ (Lada) Largus Classic,9400000.0,"2025 г., новый универсал, 1.6 л, бензин, КПП механика",Астана,0,https://kolesa.kz/a/show/203509489?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=12,2025.0,,1.6,petrol,manual,0.0,inf,,-0.21525514465657053
Li L9,36000000.0,"2025 г., Б/у внедорожник, 1.5 л, гибрид, КПП автомат, с пробегом 17 000 км, черный, литые диски, тонировка, панорамная...",Шымкент,0,https://kolesa.kz/a/show/205004287?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=13,2025.0,17000.0,1.5,other,automatic,0.0,inf,2117.6470588235293,1.3943451147633468
Kia K8,18000000.0,"2021 г., Б/у седан, 3.5 л, бензин, КПП автомат, с пробегом 55 000 км, ЦЕНА ЗА НАЛИЧКУ Авто в идеальном состоянии! Проб...",Астана,0,https://kolesa.kz/a/show/205585026?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=14,2021.0,55000.0,3.5,petrol,automatic,4.0,4500000.0,327.27272727272725,0.30514193169723736
ВАЗ (Lada) Granta 2191 Classic'24,6090000.0,"2025 г., новый лифтбек, 1.6 л, бензин, КПП механика",Павлодар,0,https://kolesa.kz/a/show/173915968?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=15,2025.0,,1.6,petrol,manual,0.0,inf,,-0.41554750776483845
Changan CS75 Plus,12500000.0,"2025 г., Б/у кроссовер, 1.5 л, бензин, КПП автомат, белый, Рассрочка без пенсионки 1.5 цена в кредит 13.3 2 литровый 1...",Алматы,0,https://kolesa.kz/a/show/189541043?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=16,2025.0,,1.5,petrol,automatic,0.0,inf,,-0.02767015201740722
ВАЗ (Lada) Vesta,4100000.0,"2018 г., Б/у седан, 1.8 л, бензин, КПП механика, с пробегом 145 000 км, белый, дневные ходовые огни, велюр, аудиосисте...",Алматы,0,https://kolesa.kz/a/show/205618235?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=17,2018.0,145000.0,1.8,petrol,manual,7.0,585714.2857142857,28.275862068965516,-0.5359649707815917
Kia Seltos,11000000.0,"2025 г., новый кроссовер, 1.5 л, бензин, КПП вариатор, белый, кожа, Новый автомобиль KIA SELTOS 2025 года В наличии в...",Астана,0,https://kolesa.kz/a/show/207398617?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=18,2025.0,,1.5,petrol,cvt,0.0,inf,,-0.11843708393958302
ВАЗ (Lada) Granta 2191 Classic'24,6090000.0,"2025 г., новый лифтбек, 1.6 л, бензин, КПП механика",Астана,0,https://kolesa.kz/a/show/173915775?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=19,2025.0,,1.6,petrol,manual,0.0,inf,,-0.41554750776483845
Hyundai Bayon,8490000.0,"2023 г., Б/у кроссовер, 1.4 л, бензин, КПП автомат, с пробегом 21 445 км, красный, велюр, кондиционер, климат-контроль...",Шымкент,0,https://kolesa.kz/a/show/202059566?search_id=20d0945a49a3ea7542ddbafdb14d4964bb1ae7a7&search_type=filter&advert_position=20,2023.0,21445.0,1.4,petrol,automatic,2.0,4245000.0,395.8964793658195,-0.2703204166893572
Hyundai Bayon,8490000.0,"2023 г., Б/у кроссовер, 1.4 л, бензин, КПП автомат, с пробегом 21 445 км, красный, велюр, кондиционер, климат-контроль...",Шымкент,0,https://kolesa.kz/a/show/202059566?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=21,2023.0,21445.0,1.4,petrol,automatic,2.0,4245000.0,395.8964793658195,-0.2703204166893572
Kia Carnival,12000000.0,"2019 г., Б/у минивэн, 2.2 л, дизель, КПП автомат, с пробегом 90 000 км, белый, литые диски, тонировка, линзованная опт...",Атырау,0,https://kolesa.kz/a/show/204341972?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=22,2019.0,90000.0,2.2,diesel,automatic,6.0,2000000.0,133.33333333333334,-0.05792579599146582
ВАЗ (Lada) Lada 2121 Luxe,6990000.0,"2025 г., новый внедорожник, 1.7 л, бензин, КПП механика",Семей,0,https://kolesa.kz/a/show/204707403?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=23,2025.0,,1.7,petrol,manual,0.0,inf,,-0.36108734861153297
Zeekr 001,17500000.0,"2023 г., Б/у лифтбек, электричество, КПП автомат, с пробегом 35 000 км, черный, Резина зима лето Станция зарядки Полна...",Астана,0,https://kolesa.kz/a/show/201773026?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=24,2023.0,35000.0,,other,automatic,2.0,8750000.0,500.0,0.27488628772317875
Toyota Camry,20000000.0,"2024 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 20 000 км, белый, литые диски, тонировка, ксенон, хрустальн...",Шымкент,0,https://kolesa.kz/a/show/205984173?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=25,2024.0,20000.0,2.5,petrol,automatic,1.0,20000000.0,1000.0,0.42616450759347174
Lexus RX 270,11200000.0,"2014 г., Б/у кроссовер, 2.7 л, бензин, КПП автомат, с пробегом 85 000 км, RX 270 европеец Пробег оригинал Владела и ез...",Шымкент,0,https://kolesa.kz/a/show/206990142?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=26,2014.0,85000.0,2.7,petrol,automatic,11.0,1018181.8181818182,131.76470588235293,-0.10633482634995958
Hyundai Accent,8100000.0,"2022 г., Б/у седан, 1.6 л, бензин, КПП автомат, 43 003 км, белый",Астана,0,https://kolesa.kz/a/show/207309125?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=27,2022.0,43003.0,1.6,petrol,automatic,3.0,2700000.0,188.3589517010441,-0.2939198189891229
ВАЗ (Lada) Lada 2121 Classic,6790000.0,"2025 г., новый внедорожник, 1.7 л, бензин, КПП механика",Атырау,0,https://kolesa.kz/a/show/182236326?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=28,2025.0,,1.7,petrol,manual,0.0,inf,,-0.37318960620115643
Mazda 3,7300000.0,"2015 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 80 000 км, В отличном состояние, без вложений, родной пробе...",Астана,0,https://kolesa.kz/a/show/207143774?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=29,2015.0,80000.0,1.6,petrol,automatic,10.0,730000.0,91.25,-0.34232884934761665
ВАЗ (Lada) Vesta,5500000.0,"2020 г., Б/у седан, 1.6 л, бензин, КПП вариатор, с пробегом 87 660 км, серебристый, металлик, литые диски, тонировка,...",Усть-Каменогорск,0,https://kolesa.kz/a/show/202149842?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=30,2020.0,87660.0,1.6,petrol,cvt,5.0,1100000.0,62.74241387177732,-0.45124916765422757
Toyota Camry,14200000.0,"2018 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 105 000 км, черный, металлик, литые диски, тонировка, ветро...",Алматы,0,https://kolesa.kz/a/show/207134908?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=31,2018.0,105000.0,2.5,petrol,automatic,7.0,2028571.4285714286,135.23809523809524,0.07519903749439201
Mercedes-Benz CLS 450,35000000.0,"2018 г., Б/у седан, 3 л, бензин, КПП автомат, с пробегом 93 000 км, техосмотр пройден, Mercedes-Benz CLS 450 (C257) на...",Астана,0,https://kolesa.kz/a/show/191360076?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=32,2018.0,93000.0,3.0,petrol,automatic,7.0,5000000.0,376.3440860215054,1.3338338268152297
ВАЗ (Lada) Priora 2170,1400000.0,"2008 г., Б/у седан, 1.6 л, бензин, КПП механика, с пробегом 280 000 км, черный, ГУР, ABS, SRS, Матор коробка ходовка и...",Атырау,0,https://kolesa.kz/a/show/207308950?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=33,2008.0,280000.0,1.6,petrol,manual,17.0,82352.94117647059,5.0,-0.6993454482415081
Kia Sportage X-Line,16500000.0,"2022 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат, 35 363 км, белый",Алматы,0,https://kolesa.kz/a/show/207371486?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=34,2022.0,35363.0,2.5,petrol,automatic,3.0,5500000.0,466.5893730735514,0.21437499977506155
Kia Rio,5550000.0,"2014 г., Б/у седан, 1.6 л, бензин, КПП автомат, 168 000 км",Актобе,0,https://kolesa.kz/a/show/207309143?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=35,2014.0,168000.0,1.6,petrol,automatic,11.0,504545.45454545453,33.035714285714285,-0.44822360325682176
BYD FangChengBao Titanium 7,24000000.0,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП вариатор, 26 км, черный, металлик, Максимальная комплектация Ultra! Самый...",Алматы,0,https://kolesa.kz/a/show/207296585?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=36,2025.0,26.0,1.5,other,cvt,0.0,inf,923076.9230769231,0.6682096593859406
Toyota Land Cruiser Prado,18000000.0,"2018 г., Б/у внедорожник, 2.8 л, дизель, КПП автомат, с пробегом 180 000 км, синий, металлик, Срочно продаю! Машина в...",Алматы,0,https://kolesa.kz/a/show/205128440?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=37,2018.0,180000.0,2.8,diesel,automatic,7.0,2571428.5714285714,100.0,0.30514193169723736
Mercedes-Benz G 63 AMG,128000000.0,"2022 г., Б/у внедорожник, 4 л, бензин, КПП автомат, с пробегом 24 954 км, Mercedes Benz G63, комплектация night packag...",Астана,0,https://kolesa.kz/a/show/203535228?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=38,2022.0,24954.0,4.0,petrol,automatic,3.0,42666666.666666664,5129.438166225856,6.96138360599013
Toyota Land Cruiser Prado,11000000.0,"2007 г., Б/у внедорожник, 2.7 л, бензин, КПП автомат, с пробегом 257 000 км, черный, кожа, климат-контроль, Без вложен...",Актау,0,https://kolesa.kz/a/show/204248265?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=39,2007.0,257000.0,2.7,petrol,automatic,18.0,611111.1111111111,42.80155642023346,-0.11843708393958302
Suzuki Wagon R,2400000.0,"2002 г., Б/у хэтчбек, 1.3 л, бензин, КПП автомат, с пробегом 239 500 км, синий, металлик, тонировка, люк, ветровики, р...",Караганда,0,https://kolesa.kz/a/show/205995554?search_id=b4a68b48bfcf08895e3ccccc87a34a6734c2932e&search_type=filter&advert_position=40,2002.0,239500.0,1.3,petrol,automatic,23.0,104347.82608695653,10.020876826722338,-0.6388341602933909
Toyota Land Cruiser Prado,18000000.0,"2018 г., Б/у внедорожник, 2.8 л, дизель, КПП автомат, с пробегом 180 000 км, синий, металлик, Срочно продаю! Машина в...",Алматы,0,https://kolesa.kz/a/show/205128440?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=41,2018.0,180000.0,2.8,diesel,automatic,7.0,2571428.5714285714,100.0,0.30514193169723736
Mercedes-Benz G 63 AMG,128000000.0,"2022 г., Б/у внедорожник, 4 л, бензин, КПП автомат, с пробегом 24 954 км, Mercedes Benz G63, комплектация night packag...",Астана,0,https://kolesa.kz/a/show/203535228?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=42,2022.0,24954.0,4.0,petrol,automatic,3.0,42666666.666666664,5129.438166225856,6.96138360599013
Toyota Land Cruiser Prado,11000000.0,"2007 г., Б/у внедорожник, 2.7 л, бензин, КПП автомат, с пробегом 257 000 км, черный, кожа, климат-контроль, Без вложен...",Актау,0,https://kolesa.kz/a/show/204248265?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=43,2007.0,257000.0,2.7,petrol,automatic,18.0,611111.1111111111,42.80155642023346,-0.11843708393958302
Suzuki Wagon R,2400000.0,"2002 г., Б/у хэтчбек, 1.3 л, бензин, КПП автомат, с пробегом 239 500 км, синий, металлик, тонировка, люк, ветровики, р...",Караганда,0,https://kolesa.kz/a/show/205995554?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=44,2002.0,239500.0,1.3,petrol,automatic,23.0,104347.82608695653,10.020876826722338,-0.6388341602933909
Porsche Taycan,60000000.0,"2022 г., Б/у седан, электричество, КПП автомат, с пробегом 60 000 км, серый, металлик, литые диски, тонировка, панорам...",Алматы,0,https://kolesa.kz/a/show/177061698?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=45,2022.0,60000.0,,other,automatic,3.0,20000000.0,1000.0,2.8466160255181596
Changan CS55 Plus,9000000.0,"2023 г., Б/у кроссовер, 1.5 л, бензин, КПП робот, с пробегом 42 100 км, белый, литые диски, тонировка, люк, багажник,...",Астана,0,https://kolesa.kz/a/show/206992006?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=46,2023.0,42100.0,1.5,petrol,other,2.0,4500000.0,213.77672209026127,-0.2394596598358174
BMW X3 XDrive 20i,38533437.0,"2025 г., новый кроссовер, 2 л, гибрид, КПП автомат, 5 км, серый",Кызылорда,0,https://kolesa.kz/a/show/200202449?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=47,2025.0,5.0,2.0,other,automatic,0.0,inf,7706687.4,1.547646650568761
Subaru Legacy,5200000.0,"2005 г., Б/у седан, 3 л, бензин, КПП автомат, с пробегом 270 000 км, металлик, кожа, bluetooth, ГУР, ABS, SRS, сигнали...",Алматы,0,https://kolesa.kz/a/show/171978647?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=48,2005.0,270000.0,3.0,petrol,automatic,20.0,260000.0,19.25925925925926,-0.46940255403866277
Hyundai Accent,4290000.0,"2012 г., Б/у седан, 1.4 л, бензин, КПП механика, 198 119 км, белый",Алматы,0,https://kolesa.kz/a/show/207152023?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=49,2012.0,198119.0,1.4,petrol,manual,13.0,330000.0,21.653652602728663,-0.5244678260714494
Audi A6,6800000.0,"2009 г., Б/у седан, 3 л, бензин, КПП автомат, с пробегом 211 000 км, синий, металлик, литые диски, тонировка, багажник...",Астана,0,https://kolesa.kz/a/show/207135345?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=50,2009.0,211000.0,3.0,petrol,automatic,16.0,425000.0,32.22748815165877,-0.37258449332167526
ВАЗ (Lada) Vesta SW Cross,5800000.0,"2021 г., Б/у универсал, 1.8 л, бензин, КПП механика, Автомобиль в отличном состоянии в родном окрасе! Полностью подгот...",Астана,0,https://kolesa.kz/a/show/207465030?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=51,2021.0,,1.8,petrol,manual,4.0,1450000.0,,-0.4330957812697924
Toyota Camry,8800000.0,"2013 г., Б/у седан, 2.5 л, бензин, КПП автомат, белый, металлик, литые диски, тонировка, люк, панорамная крыша, кенгур...",Шымкент,0,https://kolesa.kz/a/show/207127041?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=52,2013.0,,2.5,petrol,automatic,12.0,733333.3333333334,,-0.2515619174254409
Hyundai Elantra,7999000.0,"2018 г., Б/у седан, 1.6 л, бензин, КПП автомат, 136 886 км",Алматы,0,https://kolesa.kz/a/show/207297688?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=53,2018.0,136886.0,1.6,petrol,automatic,7.0,1142714.2857142857,58.43548646318835,-0.3000314590718827
Ford Explorer,8500000.0,"2007 г., Б/у внедорожник, 4 л, бензин, КПП автомат, с пробегом 125 000 км, белый, литые диски, тонировка, ветровики, р...",Алматы,0,https://kolesa.kz/a/show/200654160?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=54,2007.0,125000.0,4.0,petrol,automatic,18.0,472222.22222222225,68.0,-0.269715303809876
Mercedes-Benz GL 500,8500000.0,"2007 г., Б/у внедорожник, 5.5 л, бензин, КПП автомат, с пробегом 285 000 км, В отличном состоянии, варианты",Алматы,0,https://kolesa.kz/a/show/205873022?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=55,2007.0,285000.0,5.5,petrol,automatic,18.0,472222.22222222225,29.82456140350877,-0.269715303809876
ВАЗ (Lada) Priora 2170,3500000.0,"2015 г., Б/у седан, 1.6 л, бензин, КПП механика, с пробегом 232 000 км, синий, металлик, литые диски, тонировка, аудио...",Караганда,0,https://kolesa.kz/a/show/206057699?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=56,2015.0,232000.0,1.6,petrol,manual,10.0,350000.0,15.086206896551724,-0.572271743550462
Nissan Patrol,13200000.0,"2012 г., Б/у внедорожник, 5.6 л, бензин, КПП автомат, с пробегом 180 830 км, черный, кожа, климат-контроль, Европеец....",Алматы,0,https://kolesa.kz/a/show/207078097?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=57,2012.0,180830.0,5.6,petrol,automatic,13.0,1015384.6153846154,72.9967372670464,0.014687749546274817
JAC J7,3700000.0,"2023 г., Б/у лифтбек, 1.5 л, бензин, КПП вариатор, с пробегом 41 000 км, голубой, литые диски, тонировка, люк, ксенон,...",Кызылорда,0,https://kolesa.kz/a/show/207068222?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=58,2023.0,41000.0,1.5,petrol,cvt,2.0,1850000.0,90.2439024390244,-0.5601694859608386
GAC GS8,14690000.0,"2024 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 500 км, 5 мест! Полностью в бронепленке!",Астана,0,https://kolesa.kz/a/show/203894550?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=59,2024.0,500.0,2.0,petrol,automatic,1.0,14690000.0,29380.0,0.10484956858896943
Kia Sorento,13500000.0,"2019 г., Б/у кроссовер, 2.4 л, бензин, КПП автомат, с пробегом 145 000 км, синий, металлик, литые диски, тонировка, ке...",Караганда,0,https://kolesa.kz/a/show/205323943?search_id=1b91fa7a77f60d672c793fda55cf91733b290fa0&search_type=filter&advert_position=60,2019.0,145000.0,2.4,petrol,automatic,6.0,2250000.0,93.10344827586206,0.032841135930709975
Hyundai Sonata,11750000.0,"2022 г., Б/у седан, 2 л, бензин, КПП автомат, 92 977 км",Алматы,0,https://kolesa.kz/a/show/207005889?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=61,2022.0,92977.0,2.0,petrol,automatic,3.0,3916666.6666666665,126.37534013788357,-0.07305361797849512
Honda Odyssey,2300000.0,"1997 г., Б/у минивэн, 2.2 л, бензин, Правый руль, КПП автомат, тонировка, люк, ветровики, рейлинги, багажник, фаркоп,...",Павлодар,0,https://kolesa.kz/a/show/207005146?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=62,1997.0,,2.2,petrol,automatic,28.0,82142.85714285714,,-0.6448852890882026
BYD Song Plus Flagship 150 DM-i,14300000.0,"На заказ,2025 г., новый кроссовер, 1.5 л, гибрид, КПП вариатор, бежевый, металлик, литые диски, тонировка, люк, панорамная крыш...",Шымкент,0,https://kolesa.kz/a/show/193322506?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=63,2025.0,,1.5,other,cvt,0.0,inf,,0.08125016628920373
BMW 535,11000000.0,"2012 г., Б/у седан, 3 л, бензин, КПП автомат, ЧЕРЕЗ НОТАРИУС Bmw F10 Год: 2012 Двигатель: 3.0 twin turbo Коробка перед...",Шымкент,0,https://kolesa.kz/a/show/205357428?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=64,2012.0,,3.0,petrol,automatic,13.0,846153.8461538461,,-0.11843708393958302
Toyota Avensis,1600000.0,"2000 г., Б/у седан, 1.8 л, бензин, КПП механика, Хорошее авто для. Еще проездит долго. Ездила девушка, всё менялось во...",Астана,0,https://kolesa.kz/a/show/206972199?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=65,2000.0,,1.8,petrol,manual,25.0,64000.0,,-0.6872431906518847
BMW 520,34850000.0,"2024 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 6 000 км, синий, кожа, Чистый немец — привезен с Южной Кореи....",Алматы,0,https://kolesa.kz/a/show/206955385?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=66,2024.0,6000.0,2.0,petrol,automatic,1.0,34850000.0,5808.333333333333,1.324757133623012
Toyota Mark II,3500000.0,"1995 г., Б/у седан, 3 л, бензин, Правый руль, КПП автомат, черный, хрустальная оптика, аудиосистема, bluetooth, климат...",Алматы,0,https://kolesa.kz/a/show/206938786?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=67,1995.0,,3.0,petrol,automatic,30.0,116666.66666666667,,-0.572271743550462
Zeekr 001 Flagship,24890000.0,"На заказ,2025 г., новый лифтбек, электричество, КПП автомат, 20 км",Алматы,0,https://kolesa.kz/a/show/191439532?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=68,2025.0,20.0,,other,automatic,0.0,inf,1244500.0,0.7220647056597649
Hyundai Elantra,5800000.0,"2014 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 240 000 км, коричневый, металлик, литые диски, тонировка, к...",Актобе,0,https://kolesa.kz/a/show/197830546?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=69,2014.0,240000.0,1.6,petrol,automatic,11.0,527272.7272727273,24.166666666666668,-0.4330957812697924
Chevrolet Lacetti,5850000.0,"2023 г., Б/у седан, 1.5 л, бензин, КПП автомат, с пробегом 108 026 км, серый, велюр, автозапуск, кондиционер, подогрев...",Шымкент,0,https://kolesa.kz/a/show/195074502?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=70,2023.0,108026.0,1.5,petrol,automatic,2.0,2925000.0,54.15362968174328,-0.43007021687238656
Lexus ES 250,16500000.0,"2017 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 160 000 км, черный, металлик, литые диски, тонировка, люк,...",Алматы,0,https://kolesa.kz/a/show/206902254?search_id=fc87f1d47a56232f9824694bf55dca99acaf26d7&search_type=filter&advert_position=71,2017.0,160000.0,2.5,petrol,automatic,8.0,2062500.0,103.125,0.21437499977506155
