title,price,description,city,views,url
Chevrolet Captiva,5 500 000₸,"2013 г., Б/у кроссовер, 2.4 л, бензин, КПП автомат, серебристый, металлик, кожа, Срочно продам машину в отличном состо...",Шымкент,0,https://kolesa.kz/a/show/207057607?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=11
Tesla Model Y,15 000 000₸,"2022 г., Б/у кроссовер, электричество, КПП автомат, с пробегом 55 000 км, Обменяю на машину 24-25 года",Шымкент,0,https://kolesa.kz/a/show/204931146?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=12
BYD Qin L DM-i,9 800 000₸,"2025 г., новый седан, 1.5 л, гибрид, КПП вариатор, 1машина калды наличка 9.8лям! Кредит10.2лям! Срочно! Срочно! Срочно...",Алматы,0,https://kolesa.kz/a/show/204695479?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=13
Toyota Alphard,6 700 000₸,"2007 г., Б/у минивэн, 3 л, бензин, КПП автомат, черный, металлик, литые диски, тонировка, ксенон, биксенон, хрустальна...",Тараз,0,https://kolesa.kz/a/show/207060987?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=14
Kia Cerato,8 300 000₸,"2018 г., Б/у седан, 1.6 л, бензин, КПП автомат, белый, Без вложении! Самая полная комплектация! Кредит в 7 банках Перв...",Шымкент,0,https://kolesa.kz/a/show/207323241?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=15
Toyota Camry,10 000 000₸,"2013 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 200 000 км, черный, тонировка, ветровики, линзованная оптик...",Алматы,0,https://kolesa.kz/a/show/207056589?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=16
Audi A6,12 000 000₸,"2017 г., Б/у седан, 2 л, бензин, КПП робот, с пробегом 130 329 км, черный, металлик, литые диски, тонировка, люк, ксен...",Шымкент,0,https://kolesa.kz/a/show/176565471?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=17
GAC GS8,14 690 000₸,"2024 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 500 км, 5 мест! Полностью в бронепленке!",Астана,0,https://kolesa.kz/a/show/203894550?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=18
ГАЗ ГАЗель,6 500 000₸,"2011 г., Б/у пикап, 2.9 л, газ-бензин, КПП механика, с пробегом 777 777 км, белый, металлик, Сотка инжектор 4216 ТЕХПА...",Алматы,0,https://kolesa.kz/a/show/207052948?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=19
FAW T80,6 700 000₸,"2024 г., Б/у фургон, 1.5 л, бензин, КПП автомат, с пробегом 16 000 км",Шымкент,0,https://kolesa.kz/a/show/195894753?search_id=9728c493b905a8dac887116b7eaf72ab05c8232c&search_type=filter&advert_position=20
ГАЗ ГАЗель,6 500 000₸,"2011 г., Б/у пикап, 2.9 л, газ-бензин, КПП механика, с пробегом 777 777 км, белый, металлик, Сотка инжектор 4216 ТЕХПА...",Алматы,0,https://kolesa.kz/a/show/207052948?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=21
FAW T80,6 700 000₸,"2024 г., Б/у фургон, 1.5 л, бензин, КПП автомат, с пробегом 16 000 км",Шымкент,0,https://kolesa.kz/a/show/195894753?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=22
Toyota RAV4 Luxe+,22 500 000₸,"На заказ,2025 г., новый кроссовер, 2.5 л, гибрид, КПП вариатор, 17 км",Алматы,0,https://kolesa.kz/a/show/192089770?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=23
Subaru Outback,4 700 000₸,"2014 г., Б/у универсал, 2.5 л, газ-бензин, КПП автомат, с пробегом 160 000 км, обогрев зеркал, кожа, встроенный телефо...",Актобе,0,https://kolesa.kz/a/show/206774242?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=24
Lexus IS 250,8 100 000₸,"2014 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 205 000 км, белый, люк, линзованная оптика, кожа, bluetooth...",Актобе,0,https://kolesa.kz/a/show/206737168?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=25
ГАЗ ГАЗель,8 700 000₸,"2017 г., Б/у фургон, 2.9 л, газ-бензин, КПП механика, с пробегом 121 627 км, белый, Рама и ресор усиленный, обесшумка...",Алматы,0,https://kolesa.kz/a/show/206754716?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=26
Lexus IS 250,6 300 000₸,"2006 г., Б/у седан, 2.5 л, бензин, КПП автомат, серебристый, металлик, литые диски, тонировка, люк, спойлер, ветровики...",Астана,0,https://kolesa.kz/a/show/188499255?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=27
Toyota Land Cruiser Prado,9 800 000₸,"2005 г., Б/у внедорожник, 2.7 л, бензин, КПП автомат, с пробегом 324 580 км, В родном окрасе, 7 мест, движок работает...",Караганда,0,https://kolesa.kz/a/show/206743938?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=28
Volkswagen ID.6,13 500 000₸,"2023 г., Б/у кроссовер, электричество, КПП автомат, с пробегом 30 000 км, комбинированный, Продаю свой Volkswagen ID.6...",Алматы,0,https://kolesa.kz/a/show/206742255?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=29
Toyota Land Cruiser,68 500 000₸,"2025 г., Б/у внедорожник, 3.5 л, бензин, КПП автомат, с пробегом 20 000 км, белый, металлик, GR-SPORT. Куплен у официа...",Астана,0,https://kolesa.kz/a/show/203881009?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=30
Changan X5 Plus,8 400 000₸,"2025 г., Б/у кроссовер, 1.5 л, бензин, КПП робот, серый, металлик, Changan x5 + В наличии рестайлинг, до рестайлинг. М...",Алматы,0,https://kolesa.kz/a/show/202905808?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=31
Lexus RX 330,6 700 000₸,"2004 г., Б/у кроссовер, 3.3 л, бензин, КПП автомат, с пробегом 245 000 км, голубой, металлик, литые диски, тонировка,...",Алматы,0,https://kolesa.kz/a/show/206734299?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=32
Toyota Camry,19 200 000₸,"2023 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 34 000 км, белый, металлик, Состояние нового авто, в идеаль...",Шымкент,0,https://kolesa.kz/a/show/206702984?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=33
Xiaomi YU7,36 000 000₸,"2025 г., Б/у кроссовер, электричество, КПП автомат, серый, металлик, кожа, дерево, алькантара, комбинированный, шторки...",Алматы,0,https://kolesa.kz/a/show/207318420?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=34
Honda CR-V,1 900 000₸,"1995 г., Б/у кроссовер, 2 л, бензин, Правый руль, КПП автомат, синий, велюр, ГУР, Автомобиль в хорошем состоянии! Печк...",Алматы,0,https://kolesa.kz/a/show/206681428?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=35
ГАЗ ГАЗель,6 500 000₸,"2010 г., Б/у пикап, 2.9 л, газ-бензин, КПП механика, с пробегом 100 000 км, белый, Продам в хорошем состоянии газель,...",Астана,0,https://kolesa.kz/a/show/203132096?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=36
BMW X5,11 500 000₸,"2015 г., Б/у кроссовер, 3 л, бензин, КПП автомат, с пробегом 180 000 км, белый, металлик, литые диски, тонировка, люк,...",Атырау,0,https://kolesa.kz/a/show/206676913?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=37
Mitsubishi Outlander,5 500 000₸,"2007 г., Б/у кроссовер, 3 л, бензин, КПП автомат, с пробегом 90 000 км, белый, металлик, литые диски, тонировка, ветро...",Актобе,0,https://kolesa.kz/a/show/192542622?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=38
Lexus LX 570,28 000 000₸,"2014 г., Б/у внедорожник, 5.7 л, бензин, КПП автомат, с пробегом 160 000 км, черный, кожа, Машина в идеальном состояни...",Алматы,0,https://kolesa.kz/a/show/201361564?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=39
Mercedes-Benz E 320,4 650 000₸,"2000 г., Б/у седан, 3.2 л, бензин, КПП автомат, с пробегом 400 000 км, серебристый, люк, кожа, bluetooth, MP3, USB, DV...",Алматы,0,https://kolesa.kz/a/show/206674903?search_id=927ee22bac21e43266280901029f95fc5c41ef9a&search_type=filter&advert_position=40
Mitsubishi Outlander,5 500 000₸,"2007 г., Б/у кроссовер, 3 л, бензин, КПП автомат, с пробегом 90 000 км, белый, металлик, литые диски, тонировка, ветро...",Актобе,0,https://kolesa.kz/a/show/192542622?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=41
Lexus LX 570,28 000 000₸,"2014 г., Б/у внедорожник, 5.7 л, бензин, КПП автомат, с пробегом 160 000 км, черный, кожа, Машина в идеальном состояни...",Алматы,0,https://kolesa.kz/a/show/201361564?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=42
Mercedes-Benz E 320,4 650 000₸,"2000 г., Б/у седан, 3.2 л, бензин, КПП автомат, с пробегом 400 000 км, серебристый, люк, кожа, bluetooth, MP3, USB, DV...",Алматы,0,https://kolesa.kz/a/show/206674903?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=43
Mitsubishi Montero Sport,5 000 000₸,"1999 г., Б/у внедорожник, 3 л, бензин, КПП автомат, с пробегом 300 000 км, зеленый, металлик, тонировка, ксенон, биксе...",Актау,0,https://kolesa.kz/a/show/207319601?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=44
Lamborghini Urus,185 500 000₸,"На заказ,2025 г., новый кроссовер, 4 л, бензин, КПП автомат",Алматы,0,https://kolesa.kz/a/show/207197433?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=45
Mercedes-Benz CLA 200,17 777 777₸,"2019 г., Б/у седан, 1.3 л, бензин, КПП робот, с пробегом 46 000 км, белый, тонировка, кожа, алькантара, комбинированны...",Астана,0,https://kolesa.kz/a/show/206658071?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=46
Nissan Pathfinder,6 500 000₸,"2006 г., Б/у внедорожник, 4 л, бензин, КПП автомат, с пробегом 434 430 км, черный, металлик, литые диски, тонировка, л...",Актау,0,https://kolesa.kz/a/show/207318923?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=47
ВАЗ (Lada) 21099,664 000₸,"1998 г., Б/у седан, 1.6 л, бензин, КПП механика, с пробегом 12 687 км, вишня, металлик, литые диски, велюр, bluetooth,...",Петропавловск,0,https://kolesa.kz/a/show/207319423?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=48
Lexus RX 350,35 500 000₸,"2024 г., Б/у кроссовер, 2.4 л, бензин, КПП автомат, с пробегом 11 500 км, черный, металлик, Lexus RX 350, 2024 г., Exe...",Алматы,0,https://kolesa.kz/a/show/205582822?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=49
Mercedes-Benz C 300,22 000 000₸,"2022 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 48 000 км, Участки Дома Квартиры Готовый Бизнес не интересует...",Актау,0,https://kolesa.kz/a/show/207043564?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=50
Toyota Camry,6 000 000₸,"2006 г., Б/у седан, 2.4 л, бензин, КПП автомат, с пробегом 111 111 км, голубой, металлик, климат-контроль, Авто в отли...",Астана,0,https://kolesa.kz/a/show/207319393?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=51
ВАЗ (Lada) Priora 2170,2 600 000₸,"2013 г., Б/у седан, 1.6 л, бензин, КПП механика, черный, металлик, климат-контроль, ABS, вложений не требует, Бір хозя...",Атырау,0,https://kolesa.kz/a/show/206627166?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=52
Daewoo Damas,2 300 000₸,"2007 г., Б/у фургон, 0.8 л, бензин, КПП механика, с пробегом 248 889 км, белый, металлик, Продам Daewoo Damas грузовой...",Алматы,0,https://kolesa.kz/a/show/195509296?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=53
ВАЗ (Lada) 2110,950 000₸,"2001 г., Б/у седан, 1.5 л, бензин, КПП механика, с пробегом 294 000 км, белый, фаркоп, техосмотр пройден, Двигатель по...",Петропавловск,0,https://kolesa.kz/a/show/207226418?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=54
Renault Logan,2 500 000₸,"2015 г., Б/у седан, 1.6 л, газ-бензин, КПП механика, белый, тонировка, фаркоп, хрустальная оптика, дневные ходовые огн...",Актобе,0,https://kolesa.kz/a/show/207194246?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=55
Kia Telluride,13 500 000₸,"2020 г., Б/у внедорожник, 3.8 л, бензин, КПП автомат, с пробегом 126 000 км, черный, металлик, тонировка, люк, панорам...",Уральск,0,https://kolesa.kz/a/show/206612057?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=56
Daewoo Nexia,1 650 000₸,"2012 г., Б/у седан, 1.5 л, бензин, КПП механика, с пробегом 77 777 км, серый, тонировка, ветровики, линзованная оптика...",Шымкент,0,https://kolesa.kz/a/show/207035760?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=57
ГАЗ ГАЗель,3 500 000₸,"2010 г., Б/у фургон, 2.9 л, газ-бензин, КПП механика, синий, металлик, налог уплачен, техосмотр пройден, вложений не т...",Уральск,0,https://kolesa.kz/a/show/207319397?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=58
Volkswagen Touareg,5 100 000₸,"2003 г., Б/у кроссовер, 3.2 л, бензин, КПП автомат, с пробегом 100 000 км, серебристый, металлик, кожа, дерево, комбин...",Алматы,0,https://kolesa.kz/a/show/185554092?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=59
Renault Duster,2 290 000₸,"2014 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 148 000 км, коричневый, металлик, bluetooth, кондиционер,...",Балхаш,0,https://kolesa.kz/a/show/206344772?search_id=06e43d98a353aef9f89eefb827ad3e9dc62aa335&search_type=filter&advert_position=60
Daewoo Nexia,1 650 000₸,"2012 г., Б/у седан, 1.5 л, бензин, КПП механика, с пробегом 77 777 км, серый, тонировка, ветровики, линзованная оптика...",Шымкент,0,https://kolesa.kz/a/show/207035760?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=61
ГАЗ ГАЗель,3 500 000₸,"2010 г., Б/у фургон, 2.9 л, газ-бензин, КПП механика, синий, металлик, налог уплачен, техосмотр пройден, вложений не т...",Уральск,0,https://kolesa.kz/a/show/207319397?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=62
Volkswagen Touareg,5 100 000₸,"2003 г., Б/у кроссовер, 3.2 л, бензин, КПП автомат, с пробегом 100 000 км, серебристый, металлик, кожа, дерево, комбин...",Алматы,0,https://kolesa.kz/a/show/185554092?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=63
Renault Duster,2 290 000₸,"2014 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 148 000 км, коричневый, металлик, bluetooth, кондиционер,...",Балхаш,0,https://kolesa.kz/a/show/206344772?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=64
ВАЗ (Lada) Priora 2170,2 100 000₸,"2012 г., Б/у седан, 1.6 л, бензин, КПП механика, с пробегом 309 300 км, серебристый, велюр, кондиционер, Машина в хоро...",Атырау,0,https://kolesa.kz/a/show/175311538?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=65
Audi A6,3 000 000₸,"1995 г., Б/у седан, 2.6 л, бензин, КПП механика, с пробегом 330 000 км, синий, тонировка, корректор фар, велюр, аудиос...",Жанаозен,0,https://kolesa.kz/a/show/207319145?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=66
Subaru Forester,3 950 000₸,"2001 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат, серебристый, металлик, линзованная оптика, велюр, аудиосистема, вс...",Алматы,0,https://kolesa.kz/a/show/206601047?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=67
Kia Optima,7 600 000₸,"2014 г., Б/у седан, 2.4 л, бензин, КПП автомат, с пробегом 187 000 км, серебристый, металлик, литые диски, тонировка,...",Алматы,0,https://kolesa.kz/a/show/207032543?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=68
Hyundai Creta,9 300 000₸,"2020 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 98 000 км, серый, bluetooth, кондиционер, налог уплачен,...",Астана,0,https://kolesa.kz/a/show/207319109?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=69
Land Rover Range Rover,13 500 000₸,"2010 г., Б/у внедорожник, 5 л, бензин, КПП автомат, с пробегом 270 000 км, Машина в достойном состоянии, очень ухоженн...",Алматы,0,https://kolesa.kz/a/show/205911507?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=70
Hyundai Creta,8 000 000₸,"2019 г., Б/у кроссовер, 1.6 л, бензин, КПП автомат, с пробегом 207 000 км, серебристый, металлик, хрустальная оптика,...",Алматы,0,https://kolesa.kz/a/show/207033911?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=71
Mercedes-Benz E 230,1 500 000₸,"1997 г., Б/у седан, 2.3 л, бензин, КПП автомат, с пробегом 390 000 км, серебристый, металлик, кожа, аудиосистема, blue...",Жезказган,0,https://kolesa.kz/a/show/207319036?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=72
Audi 80,1 450 000₸,"1992 г., Б/у седан, 2 л, бензин, КПП механика, с пробегом 500 000 км, бордовый, ГУР, Продам ауди80 б4 мотор после капи...",Астана,0,https://kolesa.kz/a/show/207090301?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=73
Hyundai Getz,3 800 000₸,"2009 г., Б/у хэтчбек, 1.4 л, бензин, КПП автомат, с пробегом 293 000 км, металлик, велюр, ГУР, ABS, Новый аккумулятор!...",Шымкент,0,https://kolesa.kz/a/show/206599127?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=74
Chevrolet Nexia,4 600 000₸,"2020 г., Б/у седан, 1.5 л, бензин, КПП автомат, с пробегом 49 000 км, серебристый, металлик, литые диски, противотуман...",Астана,0,https://kolesa.kz/a/show/207031802?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=75
Toyota Hilux,8 000 000₸,"2008 г., Б/у пикап, 2.7 л, бензин, КПП автомат, Машина не битая, в хорошем состоянии. Делать ничего не надо. Все что е...",Кызылорда,0,https://kolesa.kz/a/show/207319137?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=76
BMW 520,11 000 000₸,"2014 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 134 000 км, белый, металлик, Бұл жай BMW емес. Бұл — мінез. B...",Астана,0,https://kolesa.kz/a/show/206598030?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=77
Volkswagen Caravelle,5 900 000₸,"2000 г., Б/у минивэн, 2.5 л, бензин, КПП механика, с пробегом 360 км, белый, ГУР, Делалось для себя, газ на 74 литра К...",Павлодар,0,https://kolesa.kz/a/show/188059951?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=78
Hyundai Accent,2 000 000₸,"2006 г., Б/у седан, 1.5 л, бензин, КПП автомат, с пробегом 260 000 км, серебристый, велюр, аудиосистема, DVD, кондицио...",Актобе,0,https://kolesa.kz/a/show/207318982?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=79
Toyota Camry,4 500 000₸,"2006 г., Б/у седан, 3.5 л, бензин, КПП автомат, с пробегом 128 808 км, Ассалам алейкум обмен авто 4.5 сурап отырмын об...",Актобе,0,https://kolesa.kz/a/show/207318888?search_id=7bb430bdafc2290462e1a4ae2e4921f1c5b7cb9a&search_type=filter&advert_position=80
Hyundai Accent,2 000 000₸,"2006 г., Б/у седан, 1.5 л, бензин, КПП автомат, с пробегом 260 000 км, серебристый, велюр, аудиосистема, DVD, кондицио...",Актобе,0,https://kolesa.kz/a/show/207318982?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=81
Toyota Camry,4 500 000₸,"2006 г., Б/у седан, 3.5 л, бензин, КПП автомат, с пробегом 128 808 км, Ассалам алейкум обмен авто 4.5 сурап отырмын об...",Актобе,0,https://kolesa.kz/a/show/207318888?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=82
Toyota Camry,13 000 000₸,"2019 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 134 000 км, белый, металлик, литые диски, ксенон, линзованная...",Шымкент,0,https://kolesa.kz/a/show/204282079?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=83
ГАЗ ГАЗель,2 700 000₸,"2003 г., Б/у микроавтобус, 2.4 л, бензин, КПП механика, с пробегом 600 км, белый, велюр, аудиосистема",Шымкент,0,https://kolesa.kz/a/show/207316635?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=84
Toyota Camry,5 800 000₸,"2013 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 209 040 км, зеленый, металлик, литые диски, люк, багажник,...",Актобе,0,https://kolesa.kz/a/show/196012282?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=85
BMW 528,7 700 000₸,"2011 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 111 800 км, белый, металлик, литые диски, обвес, ксенон, прот...",Атырау,0,https://kolesa.kz/a/show/205656897?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=86
ВАЗ (Lada) Granta 2191,3 500 000₸,"2017 г., Б/у лифтбек, 1.6 л, бензин, КПП механика, с пробегом 165 000 км, Авто в хорошем ухоженном состоянии, салон чи...",Алматы,0,https://kolesa.kz/a/show/206559184?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=87
Toyota Camry,5 600 000₸,"2005 г., Б/у седан, 2.4 л, бензин, КПП автомат, с пробегом 402 000 км, серебристый, металлик, литые диски, тонировка,...",Шымкент,0,https://kolesa.kz/a/show/207313671?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=88
Mercedes-Benz Vito,1 700 000₸,"2001 г., Б/у минивэн, 2.1 л, дизель, КПП автомат, Машина оталмай тур келип кориниздер келисими бар журип келген машина...",Алматы,0,https://kolesa.kz/a/show/206098110?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=89
Cadillac XT6,29 000 000₸,"2022 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 26 000 км, Продаётся премиальный семейный кроссовер Cadil...",Алматы,0,https://kolesa.kz/a/show/202572860?search_id=f68bf48eba3f2bca02c2bb864b759eeaf600a3a0&search_type=filter&advert_position=90
